Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
144,35,1,160,4,Some Random Commen with Id 144
145,35,1,46,1,Some Random Commen with Id 145
146,36,8,145,3,Some Random Commen with Id 146
147,36,8,84,5,Some Random Commen with Id 147
148,37,2,30,0,Some Random Commen with Id 148
149,37,2,50,4,Some Random Commen with Id 149
150,37,2,92,1,Some Random Commen with Id 150
151,37,2,89,9,Some Random Commen with Id 151
152,38,5,145,8,Some Random Commen with Id 152
153,38,5,128,5,Some Random Commen with Id 153
154,38,5,102,8,Some Random Commen with Id 154
155,38,5,115,2,Some Random Commen with Id 155
156,38,5,162,6,Some Random Commen with Id 156
157,38,5,1,1,Some Random Commen with Id 157
158,38,5,21,1,Some Random Commen with Id 158
159,38,5,29,9,Some Random Commen with Id 159
160,39,3,43,3,Some Random Commen with Id 160
161,39,3,139,0,Some Random Commen with Id 161
162,39,3,86,4,Some Random Commen with Id 162
163,39,3,86,0,Some Random Commen with Id 163
164,39,3,44,6,Some Random Commen with Id 164
165,39,3,161,7,Some Random Commen with Id 165
