Order-Id,Item-id,Product-Id,Quantity,Sales-Id,Customer-Id,Sales-Price-Per-Prod,Market-Segment
101,101,12,20,0,26,79,realestate
102,102,0,8,1,0,123,software
103,103,18,18,6,25,78,retail
104,104,1,4,8,15,179,education
105,105,5,27,1,17,111,retail
106,106,3,6,6,3,179,financial
107,107,6,16,7,19,81,financial
108,108,8,2,2,23,128,education
109,109,9,23,2,27,83,retail
110,110,0,0,4,21,123,retail
111,111,10,8,1,6,143,financial
112,112,9,6,8,13,43,software
113,113,3,3,7,28,194,software
114,114,5,7,1,21,137,software
115,115,4,11,5,18,145,software
116,116,15,18,9,21,207,education
117,117,17,6,2,22,187,realestate
118,118,11,9,7,5,138,retail
119,119,5,12,2,25,140,financial
120,120,8,2,5,9,143,education
121,121,3,27,3,1,196,software
122,122,8,14,1,14,174,financial
123,123,10,10,8,6,124,retail
124,124,6,9,9,21,54,retail
125,125,12,29,6,20,107,software
126,126,15,12,0,20,189,realestate
127,127,10,15,9,1,113,pharmaceutical
128,128,0,11,8,1,122,realestate
129,129,17,1,0,21,193,education
130,130,17,17,2,24,202,pharmaceutical
131,131,14,10,0,12,192,financial
132,132,19,22,0,16,75,retail
133,133,18,0,0,13,59,pharmaceutical
134,134,9,20,9,23,75,retail
135,135,18,9,5,1,67,financial
136,136,0,16,6,5,122,pharmaceutical
137,137,7,25,8,9,146,education
138,138,2,19,3,26,199,retail
139,139,4,10,9,20,165,education
140,140,10,16,7,4,144,software
141,141,15,22,9,2,201,retail
142,142,1,6,7,1,205,education
143,143,17,10,6,29,205,financial
144,144,17,14,3,16,194,retail
145,145,12,13,5,29,103,realestate
146,146,9,25,3,0,88,pharmaceutical
147,147,1,1,0,12,155,pharmaceutical
148,148,2,8,4,11,201,software
149,149,15,2,4,26,183,education
150,150,10,26,8,29,133,financial
151,151,12,24,0,26,99,software
152,152,18,22,9,3,79,education
153,153,7,18,2,8,160,software
154,154,6,5,4,19,39,financial
155,155,15,29,2,20,217,education
156,156,6,23,0,27,62,software
157,157,2,19,9,5,215,pharmaceutical
158,158,12,13,7,4,89,software
159,159,16,18,1,5,157,realestate
160,160,13,2,8,17,99,financial
161,161,4,10,4,19,172,pharmaceutical
162,162,16,10,4,18,156,financial
163,163,14,23,3,24,195,pharmaceutical
164,164,14,17,7,0,185,financial
165,165,17,24,7,12,196,education
166,166,4,22,8,18,165,realestate
167,167,12,16,7,9,94,education
168,168,9,6,6,9,58,retail
169,169,17,2,2,1,186,education
170,170,16,8,3,29,156,pharmaceutical
171,171,1,23,8,11,167,software
172,172,13,11,1,8,117,education
173,173,6,4,5,29,82,education
174,174,4,26,1,17,140,realestate
175,175,14,23,7,2,194,realestate
176,176,8,24,8,12,185,software
177,177,18,15,1,7,85,realestate
178,178,11,25,3,28,136,realestate
179,179,5,23,8,3,98,education
180,180,6,1,8,8,53,retail
181,181,19,0,6,27,92,financial
182,182,13,21,7,9,89,realestate
183,183,11,10,5,17,111,education
184,184,12,21,8,24,106,education
185,185,17,22,9,8,189,education
186,186,18,0,8,20,93,retail
187,187,16,26,2,18,150,financial
188,188,8,7,3,24,119,financial
189,189,16,13,9,25,149,pharmaceutical
190,190,14,10,2,25,183,pharmaceutical
191,191,9,21,6,16,51,realestate
192,192,7,15,2,24,156,retail
193,193,3,6,6,1,187,realestate
194,194,1,25,1,3,230,realestate
195,195,15,22,4,24,183,realestate
196,196,8,26,3,20,150,financial
197,197,4,4,8,1,171,pharmaceutical
198,198,4,29,0,17,145,software
199,199,8,23,9,24,176,pharmaceutical
200,200,9,26,3,21,49,retail
201,201,16,17,2,9,161,pharmaceutical
202,202,19,27,3,7,76,realestate
203,203,8,7,7,2,201,financial
204,204,4,27,5,25,144,education
205,205,3,25,3,26,201,retail
206,206,18,1,8,14,70,software
207,207,2,24,2,29,209,realestate
208,208,18,10,9,15,94,realestate
209,209,6,21,8,18,77,software
210,210,2,10,6,26,203,financial
211,211,4,25,4,11,146,retail
212,212,18,6,9,26,54,realestate
213,213,6,4,9,8,54,pharmaceutical
214,214,15,17,2,22,182,software
215,215,12,18,9,16,92,retail
216,216,2,6,4,18,203,software
217,217,10,6,6,0,150,software
218,218,12,22,6,0,79,retail
219,219,1,24,6,27,225,financial
220,220,17,11,3,12,201,financial
221,221,4,24,1,7,140,retail
222,222,1,11,3,4,186,education
223,223,19,3,1,29,84,realestate
224,224,10,22,3,11,105,retail
225,225,13,11,8,22,121,realestate
226,226,2,28,7,20,208,financial
227,227,13,8,5,2,140,retail
228,228,13,22,1,16,121,pharmaceutical
229,229,19,19,7,12,87,financial
230,230,14,19,3,6,198,pharmaceutical
231,231,13,10,5,13,113,pharmaceutical
232,232,6,23,3,19,39,retail
233,233,16,15,8,15,151,education
234,234,13,24,1,29,112,realestate
235,235,12,16,0,16,80,realestate
236,236,15,0,7,5,215,realestate
237,237,12,14,0,25,101,financial
238,238,14,19,4,22,199,realestate
239,239,7,11,2,25,159,education
240,240,10,24,8,0,107,education
241,241,11,29,9,18,138,realestate
242,242,1,24,5,11,176,pharmaceutical
243,243,9,18,8,20,61,financial
244,244,5,19,6,22,136,financial
245,245,2,15,4,25,199,retail
246,246,17,2,1,25,190,pharmaceutical
247,247,1,5,2,26,227,financial
248,248,7,1,1,0,159,retail
249,249,10,15,1,28,97,retail
250,250,12,22,9,7,107,education
251,251,10,29,3,27,158,retail
252,252,11,20,9,3,132,software
253,253,4,22,6,19,132,retail
254,254,19,4,1,21,77,financial
255,255,10,25,7,9,96,software
256,256,1,13,3,13,225,financial
257,257,3,22,6,28,188,retail
258,258,2,18,8,4,201,financial
259,259,11,29,6,18,130,realestate
260,260,13,2,7,27,100,education
261,261,6,23,3,20,66,pharmaceutical
262,262,1,16,7,21,162,retail
263,263,19,22,6,21,85,software
264,264,0,27,7,24,123,software
265,265,16,22,2,8,155,realestate
266,266,4,12,2,9,191,financial
267,267,3,26,1,9,205,software
268,268,14,3,4,28,197,education
269,269,7,7,3,24,122,retail
270,270,12,0,5,11,85,education
271,271,16,3,1,12,161,pharmaceutical
272,272,9,12,6,26,65,pharmaceutical
273,273,3,22,3,4,192,retail
274,274,18,3,0,9,51,retail
275,275,2,20,2,26,206,software
276,276,8,27,1,17,168,retail
277,277,1,25,0,20,199,financial
278,278,11,18,3,21,99,retail
279,279,14,23,3,13,189,financial
280,280,4,6,7,7,139,realestate
281,281,12,26,0,22,94,financial
282,282,6,25,9,15,81,education
283,283,3,13,4,1,191,retail
284,284,12,18,6,1,81,education
285,285,19,24,9,4,113,education
286,286,11,23,3,0,113,retail
287,287,13,29,2,13,99,education
288,288,1,1,8,14,161,education
289,289,16,21,4,5,159,software
290,290,16,8,6,0,153,software
291,291,19,23,6,10,113,retail
292,292,9,18,3,5,81,education
293,293,13,28,7,24,141,pharmaceutical
294,294,10,14,5,8,155,software
295,295,19,10,5,7,116,financial
296,296,13,14,1,18,105,education
297,297,9,1,6,22,102,software
298,298,2,19,4,20,199,pharmaceutical
299,299,11,11,0,14,117,software
300,300,5,12,6,15,120,pharmaceutical
301,301,19,0,9,10,93,retail
302,302,18,24,1,16,70,pharmaceutical
303,303,14,19,1,19,191,retail
304,304,7,16,1,24,137,retail
305,305,7,18,6,29,157,financial
306,306,4,15,5,19,192,retail
307,307,6,5,3,4,76,software
308,308,5,11,6,17,107,pharmaceutical
309,309,6,14,0,16,74,software
310,310,4,27,9,14,161,retail
311,311,10,1,7,0,133,realestate
312,312,5,13,6,29,133,retail
313,313,13,5,5,22,114,realestate
314,314,10,22,2,12,133,financial
315,315,4,21,0,29,171,software
316,316,12,29,1,14,93,education
317,317,1,22,3,24,168,retail
318,318,15,25,1,12,220,pharmaceutical
319,319,16,26,3,4,154,pharmaceutical
320,320,6,24,0,9,66,education
321,321,9,15,1,12,101,pharmaceutical
322,322,10,8,3,12,142,financial
323,323,7,7,9,5,145,pharmaceutical
324,324,12,26,8,14,96,pharmaceutical
325,325,8,18,2,28,178,pharmaceutical
326,326,8,15,2,10,124,financial
327,327,4,15,0,0,133,pharmaceutical
328,328,15,23,0,27,202,education
329,329,11,14,0,9,104,education
330,330,1,8,2,27,203,realestate
331,331,14,25,3,7,188,retail
332,332,1,29,3,6,193,software
333,333,8,8,6,14,172,pharmaceutical
334,334,17,19,1,17,195,retail
335,335,3,5,1,6,198,software
336,336,0,13,0,23,123,pharmaceutical
337,337,2,23,9,11,203,pharmaceutical
338,338,10,17,4,24,89,software
339,339,0,28,7,13,122,software
340,340,11,27,6,21,135,realestate
341,341,13,20,2,27,142,retail
342,342,12,5,8,0,92,financial
343,343,9,16,5,21,101,retail
344,344,18,25,0,2,65,pharmaceutical
345,345,16,19,7,0,157,education
346,346,12,10,1,16,84,realestate
347,347,9,15,7,10,98,financial
348,348,5,10,4,27,100,realestate
349,349,6,11,7,18,62,software
350,350,19,16,5,9,85,education
351,351,8,7,9,10,121,financial
352,352,16,20,9,19,152,software
353,353,10,1,3,9,92,retail
354,354,7,29,4,19,119,software
355,355,4,17,7,23,175,pharmaceutical
356,356,18,25,9,20,73,retail
357,357,4,13,1,24,187,financial
358,358,0,19,2,17,122,software
359,359,10,7,6,0,112,financial
360,360,7,0,8,12,122,realestate
361,361,13,10,9,20,145,software
362,362,8,28,7,11,150,financial
363,363,2,27,3,11,212,education
364,364,14,4,6,29,187,retail
365,365,2,21,9,24,208,retail
366,366,0,18,6,18,122,realestate
367,367,7,24,8,16,156,pharmaceutical
368,368,4,18,3,7,170,education
369,369,10,20,6,14,129,education
370,370,10,12,6,10,97,education
371,371,17,10,8,7,203,financial
372,372,14,5,3,5,184,financial
373,373,18,5,9,8,101,retail
374,374,0,4,9,23,121,pharmaceutical
375,375,12,8,7,13,100,education
376,376,18,8,7,25,64,education
377,377,10,2,0,16,97,retail
378,378,1,11,5,1,188,realestate
379,379,1,6,8,15,199,financial
380,380,5,4,3,16,132,realestate
381,381,18,11,6,4,71,realestate
382,382,0,29,3,7,123,realestate
383,383,4,2,4,1,153,software
384,384,6,27,3,3,66,education
385,385,10,12,2,6,143,software
386,386,3,16,8,2,183,realestate
387,387,19,23,0,9,99,retail
388,388,11,13,3,29,102,financial
389,389,11,21,2,15,128,retail
390,390,13,19,5,24,95,financial
391,391,10,6,8,6,118,education
392,392,9,25,3,28,90,education
393,393,12,12,9,29,102,retail
394,394,18,2,5,28,95,education
395,395,16,25,3,17,146,realestate
396,396,6,6,0,0,73,pharmaceutical
397,397,13,26,5,18,125,retail
398,398,0,1,9,13,120,software
399,399,13,6,2,16,135,pharmaceutical
400,400,6,19,9,7,66,realestate
401,401,8,6,5,25,154,retail
402,402,7,16,0,18,145,pharmaceutical
403,403,17,19,3,3,200,software
404,404,3,16,3,16,180,retail
405,405,9,27,4,14,56,software
406,406,4,5,8,9,184,software
407,407,2,13,0,2,205,software
408,408,2,18,8,2,208,education
409,409,15,1,0,15,219,pharmaceutical
410,410,3,6,6,27,166,software
411,411,10,27,8,12,88,retail
412,412,3,23,1,13,195,retail
413,413,5,5,4,3,137,education
414,414,6,3,6,27,80,retail
415,415,13,9,5,8,123,software
416,416,18,10,6,14,58,software
417,417,19,22,0,10,93,financial
418,418,9,2,8,9,48,pharmaceutical
419,419,6,26,5,5,52,realestate
420,420,16,10,6,24,150,realestate
421,421,15,14,6,8,201,software
422,422,4,15,8,1,153,software
423,423,3,23,8,26,197,software
424,424,4,26,1,23,162,retail
425,425,0,17,4,8,123,realestate
426,426,13,28,6,0,117,pharmaceutical
427,427,4,27,6,23,188,retail
428,428,11,16,0,13,136,education
429,429,14,24,5,22,191,realestate
430,430,16,22,9,14,146,pharmaceutical
431,431,17,20,8,21,199,pharmaceutical
432,432,15,5,8,18,187,financial
433,433,7,26,0,26,156,retail
434,434,1,1,9,25,235,education
435,435,5,15,4,15,128,realestate
436,436,13,22,9,8,105,pharmaceutical
437,437,11,12,3,29,101,software
438,438,3,6,7,11,204,education
439,439,7,8,1,25,122,pharmaceutical
440,440,14,14,7,10,198,retail
441,441,11,28,3,13,102,software
442,442,15,2,9,25,207,financial
443,443,10,25,5,12,105,retail
444,444,15,26,0,3,189,pharmaceutical
445,445,8,15,2,26,130,education
446,446,12,5,5,14,103,pharmaceutical
447,447,2,7,5,6,202,pharmaceutical
448,448,6,25,2,18,58,education
449,449,2,18,7,3,204,education
450,450,3,6,0,13,193,software
451,451,6,3,8,0,85,pharmaceutical
452,452,8,8,7,24,168,pharmaceutical
453,453,15,10,6,18,190,financial
454,454,0,3,0,20,123,realestate
455,455,6,9,1,7,59,education
456,456,6,22,5,5,67,software
457,457,12,2,0,11,99,education
458,458,16,13,9,19,148,realestate
459,459,14,29,3,12,187,software
460,460,0,5,7,7,122,realestate
461,461,16,9,2,8,148,retail
462,462,6,17,2,22,57,education
463,463,12,1,9,4,92,realestate
464,464,3,1,9,23,201,retail
465,465,8,9,6,13,204,software
466,466,0,7,5,27,121,education
467,467,3,5,9,3,207,financial
468,468,4,3,6,12,146,pharmaceutical
469,469,6,4,5,26,65,software
470,470,10,17,1,28,144,realestate
471,471,8,10,5,29,150,financial
472,472,14,18,9,4,182,software
473,473,13,16,1,24,129,education
474,474,9,28,5,25,97,retail
475,475,15,5,5,10,212,retail
476,476,18,16,5,22,61,education
477,477,10,27,5,11,126,education
478,478,3,12,6,21,171,financial
479,479,11,9,8,0,121,software
480,480,15,2,9,16,193,retail
481,481,18,3,2,5,59,software
482,482,0,13,2,21,120,software
483,483,19,8,3,18,106,software
484,484,12,21,0,13,93,financial
485,485,19,17,5,21,114,education
486,486,6,13,9,2,50,retail
487,487,10,0,2,0,92,software
488,488,9,12,3,12,91,financial
489,489,1,17,7,6,226,software
490,490,14,15,5,14,184,retail
491,491,14,20,1,13,184,education
492,492,17,11,2,3,199,software
493,493,15,19,2,0,202,software
494,494,18,1,2,26,90,education
495,495,9,16,6,12,79,realestate
496,496,10,26,0,5,121,pharmaceutical
497,497,11,5,5,5,105,software
498,498,11,23,6,15,102,realestate
499,499,3,15,7,22,217,financial
500,500,5,11,2,21,136,realestate
501,501,8,25,0,7,125,education
502,502,8,19,0,6,159,realestate
503,503,1,18,0,11,212,retail
504,504,5,22,8,18,95,realestate
505,505,18,29,4,17,63,financial
506,506,13,23,2,5,92,realestate
507,507,11,22,3,22,138,pharmaceutical
508,508,15,9,7,25,205,realestate
509,509,11,7,2,9,140,retail
510,510,10,28,5,27,118,pharmaceutical
511,511,17,15,5,0,202,realestate
512,512,8,10,6,25,157,software
513,513,13,4,7,20,105,software
514,514,12,14,9,16,100,retail
515,515,13,3,9,16,98,financial
516,516,6,11,6,26,68,realestate
517,517,0,23,6,9,121,retail
518,518,1,29,5,22,220,realestate
519,519,8,8,9,4,141,financial
520,520,6,27,8,17,64,software
521,521,3,10,8,7,199,realestate
522,522,5,20,6,13,101,realestate
523,523,19,17,5,2,113,education
524,524,7,21,2,23,131,retail
525,525,2,28,4,13,203,pharmaceutical
526,526,13,4,4,9,100,software
527,527,0,16,8,16,120,realestate
528,528,16,28,5,18,158,financial
529,529,19,14,3,27,95,realestate
530,530,12,6,8,0,98,financial
531,531,15,15,8,26,190,financial
532,532,3,18,1,24,176,software
533,533,12,27,5,15,88,pharmaceutical
534,534,2,21,6,5,209,software
535,535,12,4,0,2,109,education
536,536,13,17,9,3,92,software
537,537,1,8,1,2,194,realestate
538,538,16,19,0,18,148,financial
539,539,7,26,3,14,123,realestate
540,540,14,20,0,0,198,education
541,541,15,7,6,26,205,retail
542,542,2,4,7,15,213,pharmaceutical
543,543,11,2,1,15,140,retail
544,544,15,29,6,26,208,financial
545,545,12,11,6,24,91,education
546,546,11,25,5,14,141,retail
547,547,16,7,2,9,151,financial
548,548,12,22,3,24,108,pharmaceutical
549,549,12,12,8,9,94,education
550,550,14,10,4,1,183,education
551,551,7,8,7,9,150,realestate
552,552,17,13,8,11,204,software
553,553,17,12,3,9,199,financial
554,554,12,2,1,24,83,software
555,555,19,24,4,19,83,financial
556,556,8,28,1,24,158,financial
557,557,4,2,9,15,148,software
558,558,10,2,8,21,136,retail
559,559,6,21,1,11,42,pharmaceutical
560,560,12,17,8,13,91,software
561,561,10,7,4,17,145,realestate
562,562,2,18,5,27,217,realestate
563,563,6,20,8,2,50,realestate
564,564,18,10,8,4,86,pharmaceutical
565,565,14,26,6,2,187,software
566,566,7,1,2,3,119,software
567,567,7,10,1,18,143,pharmaceutical
568,568,16,29,2,27,157,pharmaceutical
569,569,11,23,4,9,125,software
570,570,0,13,4,11,123,financial
571,571,7,17,7,14,131,education
572,572,16,8,9,19,154,pharmaceutical
573,573,14,7,5,22,192,pharmaceutical
574,574,10,26,6,12,91,retail
575,575,6,7,0,10,57,software
576,576,18,13,3,22,85,pharmaceutical
577,577,14,26,5,11,182,software
578,578,1,19,7,4,160,realestate
579,579,15,16,6,29,187,financial
580,580,17,26,6,27,198,retail
581,581,17,12,5,24,193,software
582,582,1,14,1,10,217,retail
583,583,19,15,7,2,109,realestate
584,584,5,6,0,6,123,pharmaceutical
585,585,4,23,4,20,162,education
586,586,11,26,3,26,113,software
587,587,17,18,2,25,188,education
588,588,15,2,5,9,192,education
589,589,14,17,8,15,193,software
590,590,3,1,6,28,215,financial
591,591,14,1,4,16,187,education
592,592,7,29,2,21,152,realestate
593,593,1,2,6,15,173,retail
594,594,17,9,3,10,187,software
595,595,12,9,3,0,99,retail
596,596,2,29,5,1,201,retail
597,597,14,8,1,24,195,software
598,598,19,12,0,16,95,retail
599,599,14,23,9,15,192,education
600,600,19,2,8,22,106,realestate
601,601,0,13,9,7,121,education
602,602,18,22,5,21,75,pharmaceutical
603,603,19,3,1,10,78,realestate
604,604,8,24,0,10,144,software
605,605,12,17,2,24,95,retail
606,606,7,18,0,19,166,retail
607,607,1,10,7,4,180,retail
608,608,6,11,6,27,56,realestate
609,609,8,0,0,1,199,retail
610,610,2,1,4,25,215,pharmaceutical
611,611,16,15,2,0,147,education
612,612,2,29,8,18,208,retail
613,613,10,3,0,5,142,realestate
614,614,13,23,1,8,146,financial
615,615,13,13,1,14,124,retail
616,616,11,28,2,24,140,retail
617,617,0,7,7,6,119,financial
618,618,18,24,6,0,89,realestate
619,619,0,29,7,3,120,realestate
620,620,1,22,9,0,159,software
621,621,17,25,4,10,195,pharmaceutical
622,622,13,9,9,26,88,pharmaceutical
623,623,17,12,9,18,195,financial
624,624,9,23,5,23,73,software
625,625,3,29,8,24,193,financial
626,626,1,0,9,14,194,retail
627,627,4,24,6,24,164,software
628,628,15,23,6,22,211,education
629,629,8,12,9,21,131,pharmaceutical
630,630,0,26,2,5,121,realestate
631,631,12,6,3,2,99,financial
632,632,1,5,4,7,163,retail
633,633,19,21,1,19,78,retail
634,634,15,20,9,8,204,financial
635,635,7,24,7,27,158,education
636,636,14,11,2,24,191,financial
637,637,14,17,2,11,192,retail
638,638,8,26,2,10,140,realestate
639,639,4,11,9,13,150,retail
640,640,7,17,7,20,134,software
641,641,6,22,8,1,81,financial
642,642,18,2,2,17,85,pharmaceutical
643,643,9,26,2,18,60,realestate
644,644,6,19,8,2,58,realestate
645,645,19,18,8,16,109,retail
646,646,3,5,6,10,192,education
647,647,0,27,0,10,119,software
648,648,3,28,8,26,206,software
649,649,12,11,0,9,93,education
650,650,13,26,4,13,94,education
651,651,5,5,2,27,101,realestate
652,652,8,17,6,0,198,education
653,653,10,18,5,4,111,retail
654,654,18,23,9,14,77,retail
655,655,6,7,3,12,40,retail
656,656,2,14,0,26,203,software
657,657,2,21,1,20,216,retail
658,658,18,21,9,10,78,financial
659,659,8,19,6,26,153,education
660,660,18,12,8,13,52,financial
661,661,9,14,2,4,57,education
662,662,12,27,9,18,80,financial
663,663,1,11,2,21,224,retail
664,664,16,18,0,3,150,education
665,665,9,6,7,7,80,education
666,666,17,6,9,17,202,software
667,667,11,14,0,18,133,education
668,668,14,7,8,9,195,software
669,669,10,19,2,14,140,software
670,670,10,1,3,11,153,software
671,671,8,25,0,25,116,financial
672,672,4,1,6,17,132,software
673,673,15,15,5,8,192,realestate
674,674,5,4,8,25,104,financial
675,675,8,29,2,29,156,pharmaceutical
676,676,5,2,7,3,117,financial
677,677,16,11,2,27,161,realestate
678,678,6,28,2,23,57,financial
679,679,4,12,7,23,131,pharmaceutical
680,680,5,1,0,20,126,financial
681,681,1,3,0,24,221,pharmaceutical
682,682,7,17,4,10,153,pharmaceutical
683,683,1,3,1,7,206,retail
684,684,15,17,7,15,220,pharmaceutical
685,685,12,6,2,2,93,retail
686,686,2,26,0,5,217,financial
687,687,2,16,1,28,209,retail
688,688,13,7,8,12,105,software
689,689,10,2,9,9,157,pharmaceutical
690,690,8,5,4,28,129,education
691,691,2,21,8,16,203,realestate
692,692,15,16,7,14,205,realestate
693,693,4,13,3,21,168,retail
694,694,15,4,8,11,181,financial
695,695,18,0,2,26,102,realestate
696,696,6,29,6,26,54,realestate
697,697,18,27,1,15,97,retail
698,698,2,24,8,11,207,financial
699,699,7,25,5,21,127,software
700,700,9,8,9,14,71,realestate
701,701,18,19,3,7,89,software
702,702,12,15,7,0,105,pharmaceutical
703,703,0,17,9,3,121,pharmaceutical
704,704,2,2,0,26,212,education
705,705,8,10,8,3,174,education
706,706,19,28,0,17,85,education
707,707,11,25,7,5,138,retail
708,708,15,28,2,25,196,education
709,709,9,23,1,15,102,financial
710,710,10,26,8,8,148,retail
711,711,10,16,5,2,145,pharmaceutical
712,712,17,28,2,26,185,pharmaceutical
713,713,14,0,9,10,181,financial
714,714,2,28,3,1,209,retail
715,715,14,24,8,27,192,realestate
716,716,10,23,4,24,91,software
717,717,7,28,2,9,129,education
718,718,4,4,0,14,188,software
719,719,4,12,9,19,184,financial
720,720,3,20,7,26,217,education
721,721,9,5,2,26,49,software
722,722,4,3,1,27,173,software
723,723,11,18,8,18,119,education
724,724,8,3,6,27,189,realestate
725,725,8,7,0,8,138,education
726,726,10,7,4,19,117,pharmaceutical
727,727,2,29,6,24,209,realestate
728,728,4,7,6,7,144,realestate
729,729,2,0,2,20,211,pharmaceutical
730,730,4,23,8,22,193,realestate
731,731,2,2,5,1,215,retail
732,732,17,9,8,15,195,education
733,733,1,22,0,6,186,realestate
734,734,15,8,6,5,188,pharmaceutical
735,735,17,3,5,12,188,education
736,736,2,0,3,7,219,software
737,737,1,20,6,29,191,pharmaceutical
738,738,4,22,3,4,132,pharmaceutical
739,739,19,11,9,16,117,realestate
740,740,12,3,4,2,90,software
741,741,14,4,3,11,196,realestate
742,742,4,4,9,14,170,software
743,743,18,19,9,2,80,retail
744,744,10,17,2,14,142,pharmaceutical
745,745,12,25,5,17,104,retail
746,746,1,25,7,8,155,education
747,747,9,28,6,20,75,education
748,748,9,18,2,10,94,financial
749,749,15,19,8,5,203,retail
750,750,4,20,3,9,134,retail
751,751,4,4,4,25,146,retail
752,752,8,12,4,16,122,software
753,753,5,5,8,16,107,education
754,754,0,29,6,27,120,education
755,755,4,1,7,6,152,realestate
756,756,7,8,9,16,159,realestate
757,757,7,27,3,15,122,software
758,758,4,13,8,16,190,education
759,759,6,4,4,3,81,software
760,760,14,16,0,15,186,software
761,761,16,9,4,29,151,pharmaceutical
762,762,13,1,5,17,92,software
763,763,6,15,4,25,58,realestate
764,764,13,15,4,0,116,financial
765,765,3,10,5,7,215,education
766,766,15,20,7,11,207,retail
767,767,10,6,9,25,141,pharmaceutical
768,768,17,1,4,12,192,software
769,769,17,0,8,29,198,retail
770,770,8,10,5,3,207,financial
771,771,0,17,6,15,122,realestate
772,772,5,9,4,22,94,software
773,773,8,29,3,11,162,software
774,774,12,14,5,28,88,pharmaceutical
775,775,7,14,5,26,136,realestate
776,776,14,20,2,15,178,retail
777,777,15,5,0,10,202,software
778,778,16,28,3,6,150,education
779,779,6,5,3,14,74,financial
780,780,1,26,8,10,233,education
781,781,0,1,5,28,123,financial
782,782,12,9,5,6,99,financial
783,783,3,28,1,25,189,financial
784,784,0,14,6,22,121,pharmaceutical
785,785,2,27,2,21,212,pharmaceutical
786,786,9,0,3,19,61,education
787,787,3,18,8,19,169,pharmaceutical
788,788,3,27,7,22,165,retail
789,789,1,27,5,9,224,education
